id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
1488975644415467522,IngaVerklickert,"RT @aen_weh: A4: Ich habe gestern für mein Trinitäts-Taskcard ein Video von einem Pastor gefunden, das fand ich sehr persönlich und sehr ästhetisch und sehr gelungen:
https://t.co/PmM0eEOXB5
Das Taskcard gibt es bald auch zu erkunden, hier als Sneak: https://t.co/L1N6lsE4Kf
#relichat",Wed Feb 02 20:40:32 +0000 2022,02/02/2022 20:40:32,,,,,1256683921779175424,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,5,24,,http://twitter.com/IngaVerklickert/statuses/1488975644415467522,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""aen_weh"",""name"":""Niels Winkelmann"",""id"":1295302383665373200,""id_str"":""1295302383665373185"",""indices"":[3,11]}],""urls"":[]}"
1488971683528679424,Julelernt_lehrt,"Multitasking extrem: Während ich Wein beim Bildungsbier trank, wurden meine Tweets von TweetDeck für den #relichat gesandt, habe ich einen Referenten für unsere Schilf kennen gelernt und wurde für eine Fortbildung angefragt. 😇 Erfolgreicher Abend! 😎 #twlz",Wed Feb 02 20:24:47 +0000 2022,02/02/2022 20:24:47,,,,,1270116303337132032,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1418900030874918916/Kfto7NLD_normal.jpg,1768,1164,"Celle, Deutschland",http://twitter.com/Julelernt_lehrt/statuses/1488971683528679424,"{""hashtags"":[{""text"":""relichat"",""indices"":[105,114]},{""text"":""twlz"",""indices"":[250,255]}],""symbols"":[],""user_mentions"":[],""urls"":[]}"
1488966372004663298,Flxmn2,@relichat Vertieft natürlich,Wed Feb 02 20:03:41 +0000 2022,02/02/2022 20:03:41,,,1230214800749350914,Flxmn2,1230214800749350914,1488965819199598592,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1372946099447734273/sKehGufR_normal.jpg,3,100,,http://twitter.com/Flxmn2/statuses/1488966372004663298,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""relichat"",""name"":""relichat"",""id"":834690994650148900,""id_str"":""834690994650148864"",""indices"":[0,9]}],""urls"":[]}"
1488966372004663298,Flxmn2,@relichat Vertieft natürlich,Wed Feb 02 20:03:41 +0000 2022,02/02/2022 20:03:41,,,1230214800749350914,Flxmn2,1230214800749350914,1488965819199598592,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1372946099447734273/sKehGufR_normal.jpg,3,100,,http://twitter.com/Flxmn2/statuses/1488966372004663298,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""relichat"",""name"":""relichat"",""id"":834690994650148900,""id_str"":""834690994650148864"",""indices"":[0,9]}],""urls"":[]}"
1488965995964293123,weltentochter,"@Tobias_Henze @LenaOhm Ich mache mir bis morgen schon mal Gedanken zu diesen Fragen! Ein paar Dinge habe ich dazu schon im Kopf, ich strukturiere das mal bis morgen und kann dann hoffentlich wenigstens einen kleinen Schritt weiterhelfen :) #relichat #relilab",Wed Feb 02 20:02:11 +0000 2022,02/02/2022 20:02:11,,,157944391,Tobias_Henze,46194996,1488965618128797696,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1480278207211388930/5hNA-Yaj_normal.jpg,1764,459,"Hildesheim, Deutschland",http://twitter.com/weltentochter/statuses/1488965995964293123,"{""hashtags"":[{""text"":""relichat"",""indices"":[240,249]},{""text"":""relilab"",""indices"":[250,258]}],""symbols"":[],""user_mentions"":[{""screen_name"":""Tobias_Henze"",""name"":""Tobias Henze"",""id"":157944391,""id_str"":""157944391"",""indices"":[0,13]},{""screen_name"":""LenaOhm"",""name"":""Lena Ohm"",""id"":1339230187,""id_str"":""1339230187"",""indices"":[14,22]}],""urls"":[]}"
1488965889005391874,Tobias_Henze,Danke für den #relichat und die Moderation. War der passende Auftakt für morgen. Ich freu mich!,Wed Feb 02 20:01:46 +0000 2022,02/02/2022 20:01:46,,,,,157944391,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/1289584648524312576/zmRHrlnW_normal.jpg,972,1381,"Niedersachsen, Deutschland",http://twitter.com/Tobias_Henze/statuses/1488965889005391874,"{""hashtags"":[{""text"":""relichat"",""indices"":[14,23]}],""symbols"":[],""user_mentions"":[],""urls"":[]}"
1488965819199598592,Flxmn2,@relichat Die evangelische Religion Erklärvideos auf YouTube zur Wiederholung aufs mündliche Abi. Und dann mit Edpuzzle als Lernüberprüfung wo inhaltlich noch überprüft werden muss,Wed Feb 02 20:01:29 +0000 2022,02/02/2022 20:01:29,,,834690994650148864,relichat,1230214800749350914,1488952861513838593,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1372946099447734273/sKehGufR_normal.jpg,3,100,,http://twitter.com/Flxmn2/statuses/1488965819199598592,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""relichat"",""name"":""relichat"",""id"":834690994650148900,""id_str"":""834690994650148864"",""indices"":[0,9]}],""urls"":[]}"
1488965813696663552,Jutta_Wa,"@relichat Bin morgen leider nicht dabei. Zahnarzt (immerhin, nur Routine, keine Beschwerden)",Wed Feb 02 20:01:28 +0000 2022,02/02/2022 20:01:28,,,834690994650148864,relichat,1227263868168232960,1488964941105270786,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/1421411546694029313/Zi43YLhE_normal.jpg,263,742,,http://twitter.com/Jutta_Wa/statuses/1488965813696663552,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""relichat"",""name"":""relichat"",""id"":834690994650148900,""id_str"":""834690994650148864"",""indices"":[0,9]}],""urls"":[]}"
1488965788681838607,BerndUltermann,"@relichat @LenaOhm @weltentochter Danke für heute Abend! Freue mich schon auf neue Impulse, bis dann! LG #relichat",Wed Feb 02 20:01:22 +0000 2022,02/02/2022 20:01:22,,,834690994650148864,relichat,1483884953582645256,1488965192713125889,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1488951476412108805/Xi3NVXtg_normal.jpg,8,99,"Trier, Deutschland",http://twitter.com/BerndUltermann/statuses/1488965788681838607,"{""hashtags"":[{""text"":""relichat"",""indices"":[105,114]}],""symbols"":[],""user_mentions"":[{""screen_name"":""relichat"",""name"":""relichat"",""id"":834690994650148900,""id_str"":""834690994650148864"",""indices"":[0,9]},{""screen_name"":""LenaOhm"",""name"":""Lena Ohm"",""id"":1339230187,""id_str"":""1339230187"",""indices"":[10,18]},{""screen_name"":""weltentochter"",""name"":""Elena G. | NDS"",""id"":46194996,""id_str"":""46194996"",""indices"":[19,33]}],""urls"":[]}"
1488965618128797696,Tobias_Henze,"@weltentochter @LenaOhm Japp, ich bin morgen dabei. Wann setze ich welche Art von Erklärvideo ein? Welche Abschnitte/Elemente braucht es unbedingt? Mit welchen Videoelementen erreiche ich welchen Effekt bei den SuS in ihrem Lernprozess? Fragen über Fragen :-D #relichat",Wed Feb 02 20:00:41 +0000 2022,02/02/2022 20:00:41,,,46194996,weltentochter,157944391,1488965092423127043,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/1289584648524312576/zmRHrlnW_normal.jpg,972,1381,"Niedersachsen, Deutschland",http://twitter.com/Tobias_Henze/statuses/1488965618128797696,"{""hashtags"":[{""text"":""relichat"",""indices"":[260,269]}],""symbols"":[],""user_mentions"":[{""screen_name"":""weltentochter"",""name"":""Elena G. | NDS"",""id"":46194996,""id_str"":""46194996"",""indices"":[0,14]},{""screen_name"":""LenaOhm"",""name"":""Lena Ohm"",""id"":1339230187,""id_str"":""1339230187"",""indices"":[15,23]}],""urls"":[]}"
